2019/10/23 11:42:14.079 [D]  init logger success!
2019/10/23 11:45:55.371 [D]  -----{dmesg Oct 20 03:50:01 172-18-8-178.youyuan-idc.com systemd: Starting Session 47453 of user root.}
2019/10/23 11:45:55.380 [D]  pid:1 offset:62

2019/10/23 11:45:57.382 [D]  -----{dmesg Oct 20 03:50:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:50:18.180644424Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:57.390 [D]  pid:2 offset:55

2019/10/23 11:45:59.391 [D]  -----{dmesg Oct 20 03:50:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:50:18.180714502Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:45:59.399 [D]  pid:0 offset:47

2019/10/23 11:46:01.400 [D]  -----{dmesg Oct 20 03:53:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:53:18.180913833Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:01.408 [D]  pid:5 offset:54

2019/10/23 11:46:03.410 [D]  -----{dmesg Oct 20 03:53:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:53:18.180975582Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:03.418 [D]  pid:6 offset:43

2019/10/23 11:46:05.419 [D]  -----{dmesg Oct 20 03:56:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:56:18.181172927Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:05.427 [D]  pid:5 offset:55

2019/10/23 11:46:07.430 [D]  -----{dmesg Oct 20 03:56:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:56:18.181243665Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:07.438 [D]  pid:2 offset:56

2019/10/23 11:46:09.439 [D]  -----{dmesg Oct 20 03:59:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:59:18.181640703Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:09.449 [D]  pid:4 offset:43

2019/10/23 11:46:11.450 [D]  -----{dmesg Oct 20 03:59:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T19:59:18.181700364Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:11.458 [D]  pid:0 offset:48

2019/10/23 11:46:13.460 [D]  -----{dmesg Oct 20 04:00:01 172-18-8-178.youyuan-idc.com systemd: Started Session 47454 of user root.}
2019/10/23 11:46:13.468 [D]  pid:1 offset:63

2019/10/23 11:46:15.470 [D]  -----{dmesg Oct 20 04:00:01 172-18-8-178.youyuan-idc.com systemd: Starting Session 47454 of user root.}
2019/10/23 11:46:15.480 [D]  pid:6 offset:44

2019/10/23 11:46:17.482 [D]  -----{dmesg Oct 20 04:01:01 172-18-8-178.youyuan-idc.com systemd: Started Session 47455 of user root.}
2019/10/23 11:46:17.490 [D]  pid:5 offset:56

2019/10/23 11:46:19.491 [D]  -----{dmesg Oct 20 04:01:01 172-18-8-178.youyuan-idc.com systemd: Starting Session 47455 of user root.}
2019/10/23 11:46:19.499 [D]  pid:2 offset:57

2019/10/23 11:46:21.501 [D]  -----{dmesg Oct 20 04:02:13 172-18-8-178.youyuan-idc.com root: COMMAND: RUN_TIME=2019-10-20 04:02:12 ::SYSLOG::_172.18.8.178}
2019/10/23 11:46:21.509 [D]  pid:0 offset:49

2019/10/23 11:46:23.511 [D]  -----{dmesg Oct 20 04:02:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:02:18.181921448Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:23.520 [D]  pid:1 offset:64

2019/10/23 11:46:25.522 [D]  -----{dmesg Oct 20 04:02:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:02:18.181991935Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:25.532 [D]  pid:1 offset:65

2019/10/23 11:46:27.533 [D]  -----{dmesg Oct 20 04:05:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:05:18.182169505Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:27.541 [D]  pid:6 offset:45

2019/10/23 11:46:29.542 [D]  -----{dmesg Oct 20 04:05:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:05:18.182232538Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:29.551 [D]  pid:1 offset:66

2019/10/23 11:46:31.552 [D]  -----{dmesg Oct 20 04:08:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:08:18.182400544Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:31.559 [D]  pid:5 offset:57

2019/10/23 11:46:33.561 [D]  -----{dmesg Oct 20 04:08:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:08:18.182502033Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:33.571 [D]  pid:0 offset:50

2019/10/23 11:46:35.572 [D]  -----{dmesg Oct 20 04:10:01 172-18-8-178.youyuan-idc.com systemd: Started Session 47456 of user root.}
2019/10/23 11:46:35.580 [D]  pid:4 offset:44

2019/10/23 11:46:37.582 [D]  -----{dmesg Oct 20 04:10:01 172-18-8-178.youyuan-idc.com systemd: Starting Session 47456 of user root.}
2019/10/23 11:46:37.591 [D]  pid:3 offset:63

2019/10/23 11:46:39.593 [D]  -----{dmesg Oct 20 04:11:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:11:18.182900225Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:39.600 [D]  pid:2 offset:58

2019/10/23 11:46:41.601 [D]  -----{dmesg Oct 20 04:11:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:11:18.182956476Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:41.611 [D]  pid:3 offset:64

2019/10/23 11:46:43.612 [D]  -----{dmesg Oct 20 04:14:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:14:18.18314803Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:43.620 [D]  pid:3 offset:65

2019/10/23 11:46:45.621 [D]  -----{dmesg Oct 20 04:14:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:14:18.183226722Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:45.630 [D]  pid:1 offset:67

2019/10/23 11:46:47.632 [D]  -----{dmesg Oct 20 04:17:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:17:18.183902484Z caller=notify.go:339 component=dispatcher msg="Error on notify" err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:47.641 [D]  pid:6 offset:46

2019/10/23 11:46:49.643 [D]  -----{dmesg Oct 20 04:17:18 172-18-8-178.youyuan-idc.com run_alertmanager.sh: level=error ts=2019-10-19T20:17:18.183978867Z caller=dispatch.go:264 component=dispatcher msg="Notify for alerts failed" num_alerts=1 err="dial tcp [::1]:25: connect: connection refused"}
2019/10/23 11:46:49.652 [D]  pid:3 offset:66

2019/10/23 11:46:51.653 [D]  -----{dmesg Oct 20 04:18:58 172-18-8-178.youyuan-idc.com systemd: Started Session 47457 of user root.}
2019/10/23 11:46:51.662 [D]  pid:1 offset:68

2019/10/23 11:46:53.664 [D]  -----{dmesg Oct 20 04:18:58 172-18-8-178.youyuan-idc.com systemd-logind: New session 47457 of user root.}
2019/10/23 11:46:53.672 [D]  pid:5 offset:58

